"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0B2DJ6C3K","B0B2DJ6C3K","C9 Christmas String Lights for Pathway , 26FT LED 20 Clear Lights with 20 Stakes, Waterproof Shatterproof 2700K Warm White Linkable Walkway Lights for Outdoor Indoor Xmas Driveway Yard Garden Decor","VerRon","FBA","Tools & Home Improvement",4279,"String Lights",29.99,292,885,535,,30484.33,18291.52,25,4.1,"VerRon Official",1,0,"N/A","Large Standard-Size",4.92,6.89,10.12,1.53,172.73,476.48,"10/31/2024",30,8,2,35.41
"https://amazon.com/dp/B0B9HQ9ZDS","B0B9HQ9ZDS","Too Faced Shadow Insurance 24-Hour Eye Shadow Primer | Long Lasting + Waterproof, 0.2 fl. oz.","Too Faced","Amazon","Beauty & Personal Care",25762,"Eyeshadow",23.8,-19,1029,1029,162,23779.84,23779.84,264,4.2,"Amazon",1,5927,4,"Large Standard-Size",1.02,1.06,4.29,0.09,"N/A","N/A","08/31/2023",27,5,0,3.9
"https://amazon.com/dp/B0BD956P4K","B0BD956P4K","New Chapter Women’s 50+ Multivitamin Gummies – 66% Less Sugar, Women’s Healthy Aging Gummy Vitamins with Vitamin C, B Vitamins & Zinc, Non-GMO, Gluten Free, Berry Citrus Flavored, 90 ct","New Chapter","Amazon","Health & Household",52886,"Multivitamins",22.47,-13,503,502,13,12093.85,12088.7,140,4.1,"Amazon",2,5616,"N/A","Large Standard-Size",2.72,2.87,5.31,0.49,"N/A","N/A","12/31/2023",27,7,0,3.59
"https://amazon.com/dp/B0B76PZ51N","B0B76PZ51N","20 Packs Men's Steam Eye Mask,Heated Eye Mask for Dry Eyes Dark Circles Puffy Eyes,Disposable SPA Warm Compress,Travel Essentials & Relaxation Gifts for Men|Teacher|Dad|Boyfriend|Family(Unscented)","ZHENYEMEI","FBA","Beauty & Personal Care",45198,"Masks",22.99,13,609,608,,13461.07,13454.86,245,4.2,"ZYEM",1,0,"N/A","Large Standard-Size",2.8,5.59,8.27,0.87,65.17,179.78,"10/31/2024",29,8,0,2.48
"https://amazon.com/dp/B091M4VRGS","B091M4VRGS","Sterno Fire Starter Fluid Gel Green Firestarter for Instant Flame, Concentrated Ethanol Fuel for Camp Fire or Fireplace, All-Weather Ethanol Burner for Indoor & Outdoor, 16 Oz Each, Pack of 3 Bottles","Sterno","FBA","Patio, Lawn & Garden",11901,"Charcoal Starters",20.03,-4,855,716,359,18506.08,13667.34,241,4.2,"Marketplace Valet®",3,0,"N/A","Large Standard-Size",6.46,6.5,9.53,3.55,201.47,555.78,"10/31/2024",44,6,2,3.55
"https://amazon.com/dp/B0B6DTMX3V","B0B6DTMX3V","CHICHIC 20 Inch Prelit Artificial Mini Christmas Tree Snow Flocked Small Tabletop Christmas Tree Decorated with LED Lights, Pine Cones, Berry Clusters, Frosted Branches for Home Holiday Decorations","CHICHIC","FBA","Home & Kitchen",92801,"Trees",17.99,102,415,415,,9430.18,9430.18,73,4.2,"chichic",1,0,"N/A","Large Standard-Size",5.31,5.43,17.63,2.09,255.93,706.02,"10/31/2024",28,7,0,5.69
"https://amazon.com/dp/B0B6HRKXT1","B0B6HRKXT1","80UncleKimby 5.4ft Halloween Decorations Outdoor Props - Scary Hallowmas Back from The Grave Dead Victim Prop for Haunted House Party Decor(Assembly Needed) Red","80UncleKimby","FBA","Patio, Lawn & Garden",64280,"Outdoor Holiday Decorations",27.99,12,442,324,-77,11563.11,9085.63,239,4.2,"Play Novelty",1,5403,"N/A","Large Standard-Size",3.43,7.87,10.04,1.7,136.45,376.42,"09/30/2023",27,8,3,1.85
"https://amazon.com/dp/B0B85N7BD4","B0B85N7BD4","Pacifica Beauty Wanderlust & Moon Moods Perfume Set, Fragrances, Travel Perfume, Island Vanilla, French LIlac, Dream Moon, Blue Moon, Silver Moon, Clean Perfume, Vegan, 0.05 fl oz Each (Set of 10)","Pacifica","Amazon","Beauty & Personal Care",18642,"Women's",24.3,-6,331,330,271,8738.27,8737.34,213,4.2,"Amazon",1,2667,3,"Large Standard-Size",1,5.75,8.75,0.25,"N/A","N/A","11/30/2023",28,12,0,1.55
"https://amazon.com/dp/B0B69DBK8S","B0B69DBK8S","HILIMSE 3000 High Lumens Laser Pointer with Aluminum Body","HILIMSE","FBA","Tools & Home Improvement",37296,"Line Lasers",25,-27,411,411,255,8219.63,8219.63,49,4,"Paw Paradise Shop",1,1241,"N/A","Large Standard-Size",1.81,6.97,7.91,0.55,50.24,138.6,"10/31/2024",28,5,0,8.39
"https://amazon.com/dp/B0B6W2M295","B0B6W2M295","POWERTEC 70347 10 Ft. Dust Collection Hose Kit with 5 Fittings for Woodworking Power Tools Home and Wet/Dry Shop Vacuums","POWERTEC","Amazon","Tools & Home Improvement",32752,"Hoses",22.47,-24,751,750,39,17157.6,17149.96,393,4.1,"Amazon",1,12449,"N/A","Large Standard-Size",3.11,12.52,13.86,1.57,"N/A","N/A","02/29/2024",28,7,0,1.91
"https://amazon.com/dp/B0BBFHSPL7","B0BBFHSPL7","Milk Makeup Pore Eclipse Mattifying Primer - 0.68 fl oz - Face Primer - Smooths Skin, Controls Shine & Minimizes Look of Pores - Up to 8-Hour Wear - Non-Comedogenic - Vegan, Cruelty Free","Milk Makeup","FBA","Beauty & Personal Care",22735,"Foundation Primers",20,74,1231,733,329,31093.6,13644.99,430,4.2,"Quiverr",2,0,"N/A","Large Standard-Size",1.73,2.44,4.53,0.09,9.64,26.59,"10/31/2024",27,8,2,2.86
"https://amazon.com/dp/B0B9G2J21X","B0B9G2J21X","36 Pieces Christmas Buffalo Plaid Hanging Ornaments Christmas Tree Wooden Hanging Decor Wooden Christmas Ornaments Snowflake Reindeer Snowman Plaid Christmas Decor, 12 Styles(Black Red)","BBTO","FBA","Home & Kitchen",49717,"Hanging Ornaments",14.99,91,1188,770,,16994.45,11267.15,139,4.2,"BBTO US",1,2074,13,"Small Standard-Size",0.71,7.91,9.84,0.33,27.79,76.66,"10/31/2024",27,7,3,8.54
"https://amazon.com/dp/B0B74NSK7W","B0B74NSK7W","Bird Bath De Icer, 60w Submergible Utility De Icer, Thermostatic Controlled Winter Water Heater Deicer for Bird, Chicken, Duck, Farm Trough, Design Patent Product","Dreyoo","FBA","Patio, Lawn & Garden",3575,"Birdbath Accessories",26.99,-20,747,746,,13918.36,13911.38,241,4.2,"Dreamyo",1,1686,-9,"Large Standard-Size",2.05,2.13,9.8,0.44,21.54,59.43,"10/31/2023",28,6,0,3.1
"https://amazon.com/dp/B0BFH2SH1K","B0BFH2SH1K","36"" Large Wrestling mat mop Commercial Dust Mops for Floor Cleaning Push mop with Adjustable Handle for Company Hotel Household Cleaning Supplies","Sunki","FBA","Industrial & Scientific",11683,"Dust Mops",31.74,-7,521,383,13,18491.07,14474.14,278,4.1,"SUNKIUS",1,5947,60,"Large Standard-Size",5.39,7.32,17.8,3.55,353.59,975.41,"07/31/2023",26,6,3,1.88
"https://amazon.com/dp/B09WDMQFTV","B09WDMQFTV","Vinda 3-Ply Ultra Care Facial Tissues, 86 Count Each Box, 8 Cube Boxes","Vinda","FBA","Health & Household",50987,"Box Tissues",28.95,3,526,525,-45,15223.27,15223.15,377,3.8,"Vinda Paper",1,10067,-35,"Large Standard-Size",5.87,8.94,17.17,3.37,453.65,1251.45,"06/30/2023",32,6,0,1.39
"https://amazon.com/dp/B0B872CD75","B0B872CD75","W11177741 Dishwasher Gasket Door Seal by Lusperi - Compatible with Whirlpool Maytag Kenmore Dishwashers - Replaces W10300924 W10300924V 4843807 W10660528","Lusperi","FBA","Tools & Home Improvement",28856,"Replacement Parts",22.99,-6,486,485,19,11167.96,11162.97,253,4.2,"K · X appliances",1,5050,29,"Large Standard-Size",1.14,5.71,5.94,0.37,19.47,53.7,"12/31/2023",28,7,0,1.92
"https://amazon.com/dp/B0BCHLC58D","B0BCHLC58D","6 Pcs Christmas Chair Covers Santa Hat Red Slipcovers Chair Back Covers Xmas Chair Covers Decoration for Home Dinner Christmas Banquet Party Festival Decor, 23.6 x 19.6 Inch","Yinder","FBA","Home & Kitchen",82128,"Dining Chair Slipcovers",24.99,5,683,683,,14843.01,14843.01,113,3.7,"Lightcinnabar",1,1187,31,"Large Standard-Size",1.22,10.75,13.39,0.73,88.41,243.9,"10/31/2024",27,7,0,6.05
